address,group,name,fields_address,fields_count,fields
0x1801A7DF8,default,InsertCellChart,0x1801A7DE0,1,filter:bool
0x180195840,default,InsertIndexTablesToolBar,0x1801957F8,1,filter:bool
0x1801CCE00,default,InsertLatex,0x1801CCD48,2,CTexDownloadUrl:string;filter:bool
0x1801927C8,default,InsertMedia,0x1801927B0,1,filter:bool
0x18012A670,default,InsertOnlineChart,0x18012A620,1,filter:bool
0x18012AE80,default,InsertOnlinePictureFromFileInPictureToolTab,0x18012AE68,1,filter:bool
0x1801CD5A0,default,InsertOnlineWordArt,0x1801CD548,1,filter:bool
0x18017C6B0,default,InsertOrgSmartArtFilter,0x18017C698,1,filter:bool
0x1801711D0,default,InsertPageNumberDlg,0x180171170,1,filter:bool
0x1801AE920,default,InsertPictureFromPhonePicture,0x1801AE8E0,1,filter:bool
0x1801B5A58,default,InsertPictureFromScan,0x1801B5A40,1,filter:bool
0x1801C2B80,default,InsertPictureHelpLink,0x1801C2AC0,1,url:string
0x180128150,default,InsertPictureInHeaderFooterTab,0x180128118,1,filter:bool
0x1801BD260,default,InsertPictureInHomeTab,0x1801BD228,1,filter:bool
0x1801C88E0,default,InsertPicturesIntoMultiSlides,0x1801C8890,1,filter:bool
0x18015CFA0,default,InsertPictureTip,0x18015CF60,1,support:bool
0x18012FC50,default,InsertScreenGrab,0x18012FC00,1,filter:bool
0x180199D60,default,InsertSignatureWeb,0x180199D30,1,filter:bool
0x1801A3360,default,InsertSymbolGl,0x1801A3330,1,filter:bool
0x180176040,default,InsertTabDynamics,0x180176028,1,support:bool
0x1801B31E0,default,InstallAppComponentModeToReg,0x1801B31A8,1,support:bool
0x180196AC0,default,InstallationPostInfo,0x180196A20,1,product_type:string
0x180144A90,default,InstallCDNSwitchUrl,0x180144998,1,url:string
0x1801CFFA0,default,InstallCheckSpace,0x1801CFF50,1,support:bool
0x18014F6B8,default,InstallComponent,0x18014F668,2,IntranetVersion7Url:bool;photo:bool
0x180189CB0,default,InstallDelAllUsersDefaultSaveFormat,0x180189C98,1,support:bool
0x18015C190,default,InstallDelWhiteList,0x18015C158,1,support:bool
0x18012EE70,default,InstallerUseXaUiCfg,0x18012EE40,1,support:bool
0x18014C9E8,default,InstallExtraInfoToReg,0x18014C9D0,1,support:bool
0x180188E80,default,InstallFileSecurityCheckFailedUrl,0x180188E20,1,url:string
0x1801B6D10,default,InstallForAllUserChoice,0x1801B6CD8,1,support:bool
0x1801590A0,default,InstallForAllUserShow,0x180159068,1,support:bool
0x18017F448,default,InstallInternationalUI,0x18017F430,1,support:bool
0x1801C95A0,default,InstallJsapiService,0x1801C9550,1,support:bool
0x18015EC70,default,InstallLang,0x18015EC30,1,value:string
0x180184D80,default,InstallLicense,0x180184C68,2,showlocal:bool;url:string
0x180193838,default,InstallOnServer2008,0x180193820,1,support:bool
0x18019D9B0,default,InstallPath,0x18019D960,1,value:string
0x180160040,default,InstallPathUnswitchable,0x180160008,1,support:bool
0x1801B7B70,default,InstallPluginsBlackList,0x1801B7B58,1,support:bool
0x180125DF0,default,InstallPrivacyprotectUrl,0x180125D50,1,url:string
0x18016D4D0,default,InstallPrivacyUserAgreementUrl,0x18016D438,1,url:string
0x180189AC0,default,InstallProductInfo,0x180189A78,1,value:string
0x180163910,default,InstallSetStartMenuDirName,0x180163760,1,support:bool
0x18018C6E0,default,InstallSourceDir,0x18018C678,1,value:string
0x18015BC38,default,InstallStartWpsCloudSvr,0x18015BC20,1,support:bool
0x180154200,default,InstallSwitchLang,0x180154190,1,support:bool
0x180164F68,default,InstallUpdateSvrtAddress,0x180164F50,1,support:bool
0x1801A5190,default,InstallUserType,0x1801A5128,1,userType:string
0x180124E30,default,InstallWithXieZuo,0x180124E18,1,support:bool
0x1801A69C0,default,InteractionOptimizationSwitch,0x1801A6990,2,enable:bool;support:bool
0x18013CDF0,default,IntergrationPackagePolicies,0x18013CDB8,1,support:bool
0x180151DC0,default,InternationalAuthorizedLogin,0x180151D88,1,support:bool
0x1801A1A80,default,InternationalCloudSvr,0x1801A1A50,1,support:bool
0x180177790,default,InternationalKsoqingOpenCloudDisk,0x180177778,1,support:bool
0x1801AAA90,default,InternationalLicense,0x1801AAA60,1,support:bool
0x180191A70,default,InternationalLogin,0x180191A38,1,support:bool
0x180158360,default,InternationalLoginAgreement,0x180158318,1,support:bool
0x18012B270,default,IntranetAssoPdfServer,0x18012B230,1,url:string
0x18017EF40,default,IntranetAuthServer4OfflineTry,0x18017EEB0,1,url:string
0x180163420,default,IntranetDistinctionProcess,0x1801633F0,1,support:bool
0x180137E50,default,IntranetDrive,0x180137D00,1,support:bool
0x18018F878,default,IntranetIdentify,0x18018F860,1,support:bool
0x180170A78,default,IntranetMulAccountJudge,0x180170A60,1,support:bool
0x1801244C0,default,IntranetPluginsAuthServer,0x180124480,1,url:string
0x1801684D0,default,IntranetPluginsAuthType,0x180168498,1,value:int
0x1801B43B0,default,IntranetPluginsPlainSN,0x1801B4370,1,support:bool
0x1801A9A08,default,IntranetPluginsVersion,0x1801A99F0,1,support:bool
0x1801402B0,default,IntranetStartpageViewSwitch,0x180140248,1,support:bool
0x1801C6740,default,IntranetVersion,0x1801C66F0,1,support:bool
0x1801BD340,default,IntranetVersion7,0x1801BD308,1,support:bool
0x180189F08,default,IntranetVersion7LingxiDock,0x180189EF0,1,support:bool
0x18016A890,default,intranetversion7pdurl,0x18016A858,1,url:string
0x18016C480,default,intranetversion7reporturl,0x18016C468,1,url:string
0x1801BB720,default,IntranetWPSDrive,0x1801BB6E8,1,support:bool
0x180182E50,default,IOForceUsingSystemCharEncoding,0x180182DF0,1,support:bool
0x1801513E0,default,IOMeasureUnitLocalize,0x1801513A0,1,support:bool
0x180144BF0,default,IOPreviewLowPrivilege,0x180144BD8,1,support:bool
0x180163140,default,IpcLoginInfo,0x180163068,2,qingUrlKey:string;sidSecretKey:string
0x180149C80,default,IronSourcePixelUrl,0x180149C68,1,support:bool
0x180161430,default,isActivationCodeInvalid,0x1801613D0,1,support:bool
0x18018D4C8,default,IsAddPathId,0x18018D4B0,1,support:bool
0x1801C7CE0,default,IsAddPDFKUIPInterfaceConfig,0x1801C7C98,1,support:bool
0x180152F90,default,IsApiNewInstance,0x180152F58,1,support:bool
0x180163CD0,default,IsAppConfigProfessional,0x180163CA0,1,support:bool
0x180168638,default,IsAutoTypeCommercial,0x180168620,1,value:string
0x180152CE0,default,IsBidVersion,0x180152CA0,1,support:bool
0x18012E770,default,IsCreateNewFile,0x18012E728,1,value:string
0x18016E050,default,IsDeveloperChannel,0x18016DAD8,1,support:bool
0x180193600,default,isEnableAdjustDownloadFlow,0x1801935C8,1,support:bool
0x1801996B0,default,isEtInsertFileVisible,0x180199638,1,support:bool
0x1801B4120,default,IsEulerOSInHwpad,0x1801B40F0,1,support:bool
0x18014BE10,default,IsFastPrint,0x18014BCF8,1,value:string
0x1801AF910,default,IsGBVersion,0x1801AF8D8,1,support:bool
0x1801BA280,default,isHighlightConfirmBtn,0x1801BA248,1,support:bool
0x18015C470,default,isMessageCenterV2,0x18015C458,1,support:bool
0x18019ACB0,default,isNavAdaptiveLayoutEnabled,0x18019AC70,1,support:bool
0x1801A7228,default,isNeedAcceptPrivacy,0x1801A7210,1,support:bool
0x180153870,default,IsNeedSystemChecker,0x180153840,1,value:string
0x18015FFD0,default,IsOpenFileDialogTabList,0x18015FF98,1,support:bool
0x1801CDC98,default,IsOriginFormatExportToOFD,0x1801CDC80,1,value:string
0x180162350,default,Ispdf2wordRemoveWaterMark,0x180162338,1,support:bool
0x180182CD0,default,IsPdfOptionScreen,0x180182C80,1,support:bool
0x1801710A8,default,IsProfessionalEditionEnabled,0x180171090,1,support:bool
0x180164400,default,isSerialNumberActivated,0x1801643C0,1,value:string
0x18015AB00,default,isShowingIntranetCloudTrayIcon,0x18015AAC0,1,support:bool
